Dataset,Path,Country,Country ISO Code,Topic,Subtopic,Indicator,Description,Source,Uri,Year,Month,Unit,Date,Value
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1970,1,Mton CO2,1970-01-01,4685.42942
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1971,1,Mton CO2,1971-01-01,4550.80871
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1972,1,Mton CO2,1972-01-01,4799.58289
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1973,1,Mton CO2,1973-01-01,4987.24848
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1974,1,Mton CO2,1974-01-01,4822.62093
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1975,1,Mton CO2,1975-01-01,4608.94786
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1976,1,Mton CO2,1976-01-01,4903.63553
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1977,1,Mton CO2,1977-01-01,5067.7941
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1978,1,Mton CO2,1978-01-01,5062.2364
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1979,1,Mton CO2,1979-01-01,5100.60996
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1980,1,Mton CO2,1980-01-01,4874.23238
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1981,1,Mton CO2,1981-01-01,4805.67555
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1982,1,Mton CO2,1982-01-01,4559.9965
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1983,1,Mton CO2,1983-01-01,4539.53302
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1984,1,Mton CO2,1984-01-01,4749.35967
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1985,1,Mton CO2,1985-01-01,4775.39958
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1986,1,Mton CO2,1986-01-01,4734.6922
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1987,1,Mton CO2,1987-01-01,4892.10505
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1988,1,Mton CO2,1988-01-01,5115.29985
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1989,1,Mton CO2,1989-01-01,5172.6662
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1990,1,Mton CO2,1990-01-01,5065.05566
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1991,1,Mton CO2,1991-01-01,5023.48791
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1992,1,Mton CO2,1992-01-01,5104.84848
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1993,1,Mton CO2,1993-01-01,5223.92039
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1994,1,Mton CO2,1994-01-01,5307.15147
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1995,1,Mton CO2,1995-01-01,5358.97158
EDGARED2019,location=US;indicator=KN.F1;type=All;Frequency=A,United States of America,US,Environment,,CO2 emissions,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",EDGAR,https://knoema.com/atlas/United-States-of-America/CO2-emissions,1996,1,Mton CO2,1996-01-01,5506.46436
